inventory_id	source_artifact	language	decision	target	verification	note
024	python-archive/run_filter_seq_by_length.py	python	integrated	command:filter-seq-by-length	golden-regression;publication-golden	Legacy threshold bug corrected
025	python-archive/run_gamma_distribution.py	python	excluded	-	manual-review	Interactive statistics tutorial; not project data workflow
026	python-archive/run_genome_gc.py	python	integrated	command:genome-gc	golden-regression;publication-golden	Whole-FASTA GC fraction
027	python-archive/run_get_best_hit_based_on_idy.py	python	integrated	command:get-best-hit-based-on-idy	golden-regression;publication-golden	Score and identity rule retained
028	python-archive/run_get_best_hit_by_score.py	python	integrated	command:get-best-hit-by-score	golden-regression;publication-golden	Two-way best score
029	python-archive/run_get_best_hit_by_score_one_file.py	python	integrated	command:get-best-hit-by-score-one-file	golden-regression;publication-golden	Single-table reciprocal score
030	python-archive/run_get_best_hit_from_blast.py	python	integrated	command:get-best-hit-from-blast	catalog;domain-review-pending	Historical count-based multi-species rule
031	python-archive/run_get_best_hit_genes.py	python	integrated	command:get-best-hit-genes	golden-regression;publication-golden	Best/second-best e-values
032	python-archive/run_get_best_idy_for_blast.py	python	integrated	command:get-best-idy	golden-regression;publication-golden	Best identity per query
033	python-archive/run_get_diff_sites_from_orthology.py	python	integrated	command:get-diff-sites-from-orthology	catalog;domain-review-pending	Historical four-fold definition documented
034	python-archive/run_get_four_degenerate_sites.py	python	integrated	command:get-four-degenerate-sites	catalog;domain-review-pending	Strict invariant-codon definition retained
035	python-archive/run_get_longest_transcript.py	python	integrated	command:get-longest-transcript	unit+catalog	Dot-suffix grouping
036	python-archive/run_get_the_longest_seq.py	python	integrated	command:get-the-longest-seq	golden-regression;publication-golden	Historical dot-field mapping
037	python-archive/run_merge_Gos_nr_swissprot_Trembl_Blast2gos.py	python	integrated	command:merge-gos	golden-regression;publication-golden	GO merge with EC exclusion
038	python-archive/run_merge_blastpBest_for_jcvi.py	python	integrated	command:merge-blastp-best-jcvi	golden-regression;publication-golden	JCVI-like matrix
039	python-archive/run_merge_two_end_bam.py	python	integrated	command:merge-two-end-bam	external-golden;samtools-fixture	Samtools stream join
040	python-archive/run_merge_two_end_bam1.py	python	integrated	command:merge-two-end-bam1	external-golden;samtools-fixture	Compatibility variant
041	python-archive/run_merge_two_end_bam_forMGI.py	python	integrated	command:merge-two-end-bam-forMGI	external-golden;samtools-fixture	MGI compatibility variant
042	python-archive/run_merge_two_txt.py	python	integrated	command:merge-two-txt	golden-regression;publication-golden	Maximum third-column deduplication
043	python-archive/run_orthofiner_to_pal2nal.py	python	recipe	recipe:comparative-orthology-codon	unit+static;domain-golden-pending	Canonical spelling added; typo alias retained
044	python-archive/run_orthogenes.py	python	integrated	command:orthogenes	golden-regression;publication-golden	Comma-list deduplication
045	python-archive/run_plot_depth_for_Pandepth.py	python	integrated	command:plot-depth-pandepth	catalog;visual-golden-pending	SVG rewrite
046	python-archive/run_plot_depth_for_Pandepth2.py	python	integrated	command:plot-depth-pandepth2	catalog;visual-golden-pending	Styled SVG rewrite
047	python-archive/run_plot_depth_for_mosdepth_point.py	python	integrated	command:plot-mosdepth-point	catalog;visual-golden-pending	Cumulative coordinate SVG
048	python-archive/run_trim_TTAGGG_for_fastq.py	python	integrated	command:trim-ttaggg-fastq	golden-regression;publication-golden	Forward/reverse motif rotations
049	workspace/16sRDA.R	r	recipe	recipe:microbiome-rda	R-syntax+synthetic-execution;domain-golden-pending	Removed runtime installs and hard-coded variables
050	workspace/16sRDA_more.R	r	recipe	recipe:microbiome-rda	R-syntax+synthetic-execution;domain-golden-pending	Parameterized Hellinger/partial RDA and permutation tests
051	workspace/Chinese_map.R	r	deferred	-	manual-review	External map services, local shapefile, fonts and non-genomics scope
052	workspace/Chromosome_plot.R	r	deferred	-	manual-review	Runtime installs and undefined project objects; needs explicit visualization contract
053	workspace/Go_KEGG_enrichment.R	r	recipe	recipe:functional-enrichment	R-syntax+synthetic-execution;domain-golden-pending	Explicit associations/background; base hypergeometric/BH
054	workspace/Kmeans_calculate.R	r	excluded	-	manual-review	Package-installing generic tutorial with iris example
055	workspace/Pheatmap.R	r	deferred	-	manual-review	Hard-coded exploratory plot; reusable heatmap contract not approved
056	workspace/Psmc-ggplot2.R	r	integrated	command:psmc-plot	R-syntax+synthetic-smoke	Base R rewrite; stages no longer hard-coded
057	current-repository/biohub-rs/run-biohub.sh	shell	retained	launcher:run-biohub.sh	CI-build-path	Current development launcher
058	current-repository/r/dotplot.R	r	retained	command:dotplot	container-smoke	Current base R backend
059	legacy-rust-repository/run-biohub.sh	shell	superseded	launcher:run-biohub.sh	manual-review	Older repository duplicate
060	legacy-python-package/__init__.py	python	superseded	binary:biohub	cargo-tests	Package marker replaced by Rust binary
061	legacy-python-package/__main__.py	python	superseded	binary:biohub	cargo-tests	Python entry point replaced
062	legacy-python-package/cli.py	python	superseded	binary:biohub	cli-tests	Parser surface migrated
063	legacy-python-package/commands/__init__.py	python	superseded	binary:biohub	cargo-tests	Package dispatcher replaced
064	legacy-python-package/commands/blast.py	python	integrated	direct:blast reciprocal	unit+docs	Direct command retained
065	legacy-python-package/commands/fasta.py	python	integrated	direct:fasta longest-transcript	unit+docs	Direct command retained
066	legacy-python-package/commands/gff.py	python	integrated	direct:gff	unit+docs	Three GFF direct commands retained
067	legacy-python-package/commands/psmc.py	python	integrated	direct:psmc merge	golden-regression;publication-golden	Merge helper retained
068	legacy-python-package/commands/rename.py	python	integrated	direct:rename	unit+docs	Rename group retained
069	legacy-python-package/commands/stats.py	python	integrated	direct:stats	unit+docs	Coverage/Hi-C/WGCNA group retained
070	legacy-python-package/utils.py	python	superseded	binary:biohub	cargo-tests	Path/output utilities replaced
071	workspace/data_transfer.R	r	excluded	-	manual-review	Incomplete generic reshape tutorial
072	workspace/diff_expression.R	r	recipe	recipe:rnaseq-deseq2	R-syntax+synthetic-execution;domain-golden-pending	Raw count/design/contrast inputs parameterized
073	dotplotly/dotPlotly_shiny/app.R	r	excluded	-	license+scope-review	Interactive Shiny application outside CLI scope
074	dotplotly/mummerCoordsDotPlotly.R	r	integrated	command:dotplot	container-smoke	Static MUMmer parser rewrite; upstream notice retained
075	dotplotly/pafCoordsDotPlotly.R	r	integrated	command:dotplot	container-smoke	Static PAF parser rewrite; upstream notice retained
076	workspace/filter_gff_by_fasta.awk	awk	integrated	command:filter-gff-by-fasta	cli-regression	Bounds validation and descendant propagation
077	workspace/gff_longest.py	python	superseded	direct:gff filter-gemoma	cli-tests	Compatibility launcher only
078	workspace/gggenes.R	r	deferred	-	manual-review	Package-installing examples; no approved input/output contract
079	workspace/hamstr.sh	shell	deferred	-	manual+license-review	Hard-coded taxa, paths and unsafe shell iteration
080	workspace/heatmap.MWAH.R	r	excluded	-	license-review	Third-party restricted-license script; not copied
081	workspace/run_calculate_covPercentage.py	python	integrated	direct:stats coverage-ratio	unit+docs	Reference-normalized coverage
082	workspace/run_change_HJJN_geneName.py	python	integrated	direct:rename hjjn-genes	unit+docs	Gene-name normalization
083	workspace/run_change_scaffolds_name.py	python	superseded	command:change-scaffolds-name	unit+catalog	Duplicate source copy
084	workspace/run_change_scaffolds_name_fasta.py	python	superseded	command:change-scaffolds-name-fasta	catalog	Duplicate source copy
085	workspace/run_compare_two_blastFile.py	python	superseded	command:compare-two-blast	catalog	Duplicate source copy
086	workspace/run_convert_Hic_matrix.py	python	integrated	direct:stats hic-matrix-reindex	unit+docs	Matrix index conversion
087	workspace/run_convert_TY-1and_HJJN.py	python	integrated	direct:gff convert-ty1-hjjn	unit+docs	Coordinate conversion
088	workspace/run_filter_GeMoMa_AS_2.py	python	superseded	direct:gff filter-gemoma	unit+docs	Duplicate longest-isoform source
089	workspace/run_filter_NCBI_gff_to_get_gene.py	python	integrated	direct:gff filter-ncbi	unit+docs	NCBI record conversion
090	workspace/run_filter_ensembl_pep_longest.py	python	integrated	direct:fasta longest-transcript	unit+docs	Longest transcript selection
091	workspace/run_produce_weight_file_forWGCNA.py	python	integrated	direct:stats wgcna-weight	unit+docs	Weight table conversion
